QUERY: 	I got covid
Ranking	Tweet	Text	Username	Date	URL	Retweets	Likes	Hashtags
 
1	9565	Engineer got covid and I got some heat. I-	Only_Gregory	Wed Dec 16 22:13:52 +0000 2020	https://twitter.com/twitter/statuses/1339332945530810371	0	0	[]
2	110	one of my friends got covid &amp; he’s got it bad 😩	midast0uuch	Wed Nov 18 10:19:20 +0000 2020	https://twitter.com/twitter/statuses/1329006268929900544	0	0	[]
3	9521	my plug got covid 😒🙄	theaveragejooo	Wed Dec 16 22:13:49 +0000 2020	https://twitter.com/twitter/statuses/1339332932935233536	0	0	[]
4	13159	That stove got COVID https://t.co/Q4K3OgKSIA	weszmarsh	Wed Dec 16 22:17:32 +0000 2020	https://twitter.com/twitter/statuses/1339333869905043460	0	0	[]
5	8598	gc think I got COVID	levitatinglipa	Wed Dec 16 22:12:52 +0000 2020	https://twitter.com/twitter/statuses/1339332693910298624	0	0	[]
6	11055	Anytime Rangers have got an opportunity, they bottle it. Serial losers. Last year it nearly got Gerrard sacked before he got saved by COVID, they’re a team in good form before tonight, but what happens when the pressures on?	j_mcfarlane17	Wed Dec 16 22:15:21 +0000 2020	https://twitter.com/twitter/statuses/1339333318689624064	0	0	[]
7	13272	JUST GOT MY RESULTS I DONT HAVE COVID WOOHOO	needypov	Wed Dec 16 22:17:41 +0000 2020	https://twitter.com/twitter/statuses/1339333907288895490	0	2	[]
8	11684	@MustafaSammor OMFG 💀 you ain’t got covid no more	kellyanne199720	Wed Dec 16 22:16:02 +0000 2020	https://twitter.com/twitter/statuses/1339333490077278208	0	0	[]
9	14226	@55true4u Got covid in our house..my daughter and I so far out of 6 of us....ive got 2 major diseases..both immune  deficiency and a lung disease....prayers please!	MarySpr06097009	Wed Dec 16 22:18:40 +0000 2020	https://twitter.com/twitter/statuses/1339334152953487362	0	0	[]
10	11135	ion have COVID it’s up, but i got this damn viral bullshit 🙄	tationnaa_	Wed Dec 16 22:15:26 +0000 2020	https://twitter.com/twitter/statuses/1339333340168474624	0	0	[]
11	12956	Just got an email from my insurance that the covid vaccine will be free. Yay!	Gaberull	Wed Dec 16 22:17:20 +0000 2020	https://twitter.com/twitter/statuses/1339333816763244546	0	2	[]
12	12772	my coworker definitely tested positive for covid i just got the call :)	lauraaaxvo	Wed Dec 16 22:17:08 +0000 2020	https://twitter.com/twitter/statuses/1339333765986861057	0	5	[]
13	11030	@kaitlynkempen_ Bet the moon’s even got fucking Covid	PaddyMOliver	Wed Dec 16 22:15:20 +0000 2020	https://twitter.com/twitter/statuses/1339333312704294912	0	0	[]
14	14442	Now that he’s got the COVID Christmas parties are a bad idea. https://t.co/zZzV1S7jyr	AnonSource_1	Wed Dec 16 22:18:53 +0000 2020	https://twitter.com/twitter/statuses/1339334206745407491	0	0	[]
15	14209	@hockeycop Got a new one for your covid of the day post https://t.co/wnLZho2DUu	capehog	Wed Dec 16 22:18:39 +0000 2020	https://twitter.com/twitter/statuses/1339334148574613511	2	2	[]
16	10369	@JoeBiden A PTA meeting before the Covid scam got more people than any of your rallies.	saposalado	Wed Dec 16 22:14:42 +0000 2020	https://twitter.com/twitter/statuses/1339333154637746178	0	0	[]
17	9041	"//covid 
my mom being the front line strong worker she is she just got her covid vaccine 💪💪"	cusyouremystar	Wed Dec 16 22:13:19 +0000 2020	https://twitter.com/twitter/statuses/1339332806166589446	0	3	[]
