QUERY: 	I got covid
Ranking	Tweet	Text	Username	Date	URL	Retweets	Likes	Hashtags
 
1	13159	That stove got COVID https://t.co/Q4K3OgKSIA	weszmarsh	Wed Dec 16 22:17:32 +0000 2020	https://twitter.com/twitter/statuses/1339333869905043460	0	0	[]
2	9521	my plug got covid 😒🙄	theaveragejooo	Wed Dec 16 22:13:49 +0000 2020	https://twitter.com/twitter/statuses/1339332932935233536	0	0	[]
3	11684	@MustafaSammor OMFG 💀 you ain’t got covid no more	kellyanne199720	Wed Dec 16 22:16:02 +0000 2020	https://twitter.com/twitter/statuses/1339333490077278208	0	0	[]
4	13272	JUST GOT MY RESULTS I DONT HAVE COVID WOOHOO	needypov	Wed Dec 16 22:17:41 +0000 2020	https://twitter.com/twitter/statuses/1339333907288895490	0	2	[]
5	9565	Engineer got covid and I got some heat. I-	Only_Gregory	Wed Dec 16 22:13:52 +0000 2020	https://twitter.com/twitter/statuses/1339332945530810371	0	0	[]
6	13397	@perikita74 I don’t think it’s Covid just flu, a doctor who’s sick got Covid tested it was negative	225weightloss	Wed Dec 16 22:17:48 +0000 2020	https://twitter.com/twitter/statuses/1339333936250417153	0	1	[]
7	10369	@JoeBiden A PTA meeting before the Covid scam got more people than any of your rallies.	saposalado	Wed Dec 16 22:14:42 +0000 2020	https://twitter.com/twitter/statuses/1339333154637746178	0	0	[]
8	10472	#Trump-related vendors got millions in #COVID aid — while still getting paid by his campaign | https://t.co/aZlegTEk5z https://t.co/M5ZkixMDNV	Tweet_Father	Wed Dec 16 22:14:49 +0000 2020	https://twitter.com/twitter/statuses/1339333182689316866	0	1	[{'text': 'Trump', 'indices': [0, 6]}, {'text': 'COVID', 'indices': [39, 45]}]
9	11135	ion have COVID it’s up, but i got this damn viral bullshit 🙄	tationnaa_	Wed Dec 16 22:15:26 +0000 2020	https://twitter.com/twitter/statuses/1339333340168474624	0	0	[]
10	11092	One of my former students who is now a nurse got the COVID vaccine today and that was what did it for me. I’m sobbing.	Ashley_Dargai	Wed Dec 16 22:15:23 +0000 2020	https://twitter.com/twitter/statuses/1339333328802099200	0	29	[]
11	12038	@trishwithapen @Mosatch8 @katewillett I'm willing to bet less than 20 people out of millions who had Covid got their limbs amputated. Y'all do realizes that viruses trigger many existing problems that lead to crazy symptoms right? That's not unique to Covid you know? That's why viruses are dangerous is	leoncscott543	Wed Dec 16 22:16:22 +0000 2020	https://twitter.com/twitter/statuses/1339333576245075973	0	0	[]
12	11379	"even if a covid bill passes, it will take WEEKS for aid to get to people because the computer system for unemployment is intentionally outdated so it can frustrate people seeking help.

Germany sent out their aid within a day... some said they got it within hours"	Steebie_K	Wed Dec 16 22:15:42 +0000 2020	https://twitter.com/twitter/statuses/1339333406346383360	0	1	[]
13	8598	gc think I got COVID	levitatinglipa	Wed Dec 16 22:12:52 +0000 2020	https://twitter.com/twitter/statuses/1339332693910298624	0	0	[]
14	14406	I already got the COVID vaccine back in March when I was lying on the bathroom floor of a dive bar hugging the toilet and crying after loosing my last job	Mikell_Nash	Wed Dec 16 22:18:51 +0000 2020	https://twitter.com/twitter/statuses/1339334199417987074	0	7	[]
15	4195	@gop Glad @rudyguiIiani Got #covid and I hope all of the Senators are positive Too! #COVID19 Take it serious! #WearAMask	jeffreyfarny	Mon Dec 07 14:49:56 +0000 2020	https://twitter.com/twitter/statuses/1335959735187681285	0	0	[{'text': 'covid', 'indices': [28, 34]}, {'text': 'COVID19', 'indices': [84, 92]}, {'text': 'WearAMask', 'indices': [110, 120]}]
16	139	"@Hbomberguy Last time you released a video we got Covid.

Lord help us for what will happen this time"	Sansom_94	Wed Nov 18 10:19:27 +0000 2020	https://twitter.com/twitter/statuses/1329006296524320768	0	0	[]
