QUERY: 	new coronavirus cases
Ranking	Tweet	Text	Username	Date	URL	Retweets	Likes	Hashtags	Cluster
 
1	14359	#CORONAVIRUS UPDATE: The state reported 3,817 new cases of the #COVID19 this morning — this is the second-largest daily increase of new cases since the pandemic began. The largest increase was recorded yesterday at 3,880 new cases. https://t.co/ATAq5P7ry1 #Virginia	8NEWS	Mon Dec 07 15:53:05 +0000 2020	https://twitter.com/twitter/statuses/1335975628127035394	1	3	[{'text': 'CORONAVIRUS', 'indices': [0, 12]}, {'text': 'COVID19', 'indices': [63, 71]}, {'text': 'Virginia', 'indices': [256, 265]}]	1
2	4406	RT @BangkokPostNews: #ChiangRai reported 6 more #coronavirus #COVID19 cases from Thais returning from Tachilek. The new cases have not been…	alexchoe21	Mon Dec 07 13:54:06 +0000 2020	https://twitter.com/twitter/statuses/1335945683447136263	11	0	[{'text': 'ChiangRai', 'indices': [21, 31]}, {'text': 'coronavirus', 'indices': [48, 60]}, {'text': 'COVID19', 'indices': [61, 69]}]	1
3	4983	RT @AlArabiya_Eng: #SaudiArabia reports 209 new #coronavirus cases, bringing the total to 358,922 cases, according to the Ministry of Healt…	ReflectingMan	Mon Dec 07 14:02:40 +0000 2020	https://twitter.com/twitter/statuses/1335947841328590850	3	0	[{'text': 'SaudiArabia', 'indices': [19, 31]}, {'text': 'coronavirus', 'indices': [48, 60]}]	1
4	4749	RT @AlArabiya_Eng: #SaudiArabia reports 209 new #coronavirus cases, bringing the total to 358,922 cases, according to the Ministry of Healt…	abuaishaaqm	Mon Dec 07 13:59:50 +0000 2020	https://twitter.com/twitter/statuses/1335947127965569029	3	0	[{'text': 'SaudiArabia', 'indices': [19, 31]}, {'text': 'coronavirus', 'indices': [48, 60]}]	1
5	4685	RT @AlArabiya_Eng: #SaudiArabia reports 209 new #coronavirus cases, bringing the total to 358,922 cases, according to the Ministry of Healt…	CoronaUpdateBot	Mon Dec 07 13:58:44 +0000 2020	https://twitter.com/twitter/statuses/1335946850705133569	3	0	[{'text': 'SaudiArabia', 'indices': [19, 31]}, {'text': 'coronavirus', 'indices': [48, 60]}]	1
6	4679	"#SaudiArabia reports 209 new #coronavirus cases, bringing the total to 358,922 cases, according to the Ministry of Health.

https://t.co/Bw3HnCB7iU"	AlArabiya_Eng	Mon Dec 07 13:58:39 +0000 2020	https://twitter.com/twitter/statuses/1335946827997253635	3	5	[{'text': 'SaudiArabia', 'indices': [0, 12]}, {'text': 'coronavirus', 'indices': [29, 41]}]	1
7	4072	RT @JatinPaul: .#CoronaVirusUpdate #CoronavirusPandemic 1,674 new #coronavirus cases, REDUCTION of 2,207 active cases 3,818 recoveries, 63…	basu_smarajit	Mon Dec 07 13:48:19 +0000 2020	https://twitter.com/twitter/statuses/1335944228736679936	4	0	[{'text': 'CoronaVirusUpdate', 'indices': [16, 34]}, {'text': 'CoronavirusPandemic', 'indices': [35, 55]}, {'text': 'coronavirus', 'indices': [66, 78]}]	1
8	3280	RT @JatinPaul: .#CoronaVirusUpdate #CoronavirusPandemic 1,674 new #coronavirus cases, REDUCTION of 2,207 active cases 3,818 recoveries, 63…	irfhabib	Mon Dec 07 13:36:57 +0000 2020	https://twitter.com/twitter/statuses/1335941368489766914	4	0	[{'text': 'CoronaVirusUpdate', 'indices': [16, 34]}, {'text': 'CoronavirusPandemic', 'indices': [35, 55]}, {'text': 'coronavirus', 'indices': [66, 78]}]	1
9	3089	RT @JatinPaul: .#CoronaVirusUpdate #CoronavirusPandemic 1,674 new #coronavirus cases, REDUCTION of 2,207 active cases 3,818 recoveries, 63…	mini_kapoor	Mon Dec 07 13:34:20 +0000 2020	https://twitter.com/twitter/statuses/1335940709925339136	4	0	[{'text': 'CoronaVirusUpdate', 'indices': [16, 34]}, {'text': 'CoronavirusPandemic', 'indices': [35, 55]}, {'text': 'coronavirus', 'indices': [66, 78]}]	1
10	14396	There were 16 health units that reported 10 or more new cases, with Toronto, Durham, Peel and York each reporting more than 100 new cases. There were 12 that reported fewer than 10 new cases, while six reported none. #COVID19Ontario #coronavirus #COVID19 https://t.co/ZMTxmOrlYP	SeanPrevil	Mon Dec 07 15:53:44 +0000 2020	https://twitter.com/twitter/statuses/1335975790035562496	0	0	[{'text': 'COVID19Ontario', 'indices': [217, 232]}, {'text': 'coronavirus', 'indices': [233, 245]}, {'text': 'COVID19', 'indices': [246, 254]}]	1
11	977	RT @galattadotcom: #Breaking: #CoronaTNUpdate 1,312 - new cases in #TN on Dec 07th! #Coronavirus positive cases in #TamilNadu Total - 791,5…	CoronaBot20	Mon Dec 07 13:00:08 +0000 2020	https://twitter.com/twitter/statuses/1335932104492933122	2	0	[{'text': 'Breaking', 'indices': [19, 28]}, {'text': 'CoronaTNUpdate', 'indices': [30, 45]}, {'text': 'TN', 'indices': [67, 70]}, {'text': 'Coronavirus', 'indices': [84, 96]}, {'text': 'TamilNadu', 'indices': [115, 125]}]	1
12	972	RT @galattadotcom: #Breaking: #CoronaTNUpdate 1,312 - new cases in #TN on Dec 07th! #Coronavirus positive cases in #TamilNadu Total - 791,5…	corona_alerts	Mon Dec 07 13:00:06 +0000 2020	https://twitter.com/twitter/statuses/1335932093461880834	2	0	[{'text': 'Breaking', 'indices': [19, 28]}, {'text': 'CoronaTNUpdate', 'indices': [30, 45]}, {'text': 'TN', 'indices': [67, 70]}, {'text': 'Coronavirus', 'indices': [84, 96]}, {'text': 'TamilNadu', 'indices': [115, 125]}]	1
